ID,ZONE_NAME,NATURE,STATUS,ORIGINAL_LOCATION,CITY,matched_muni,admin3_pcode,province_name,admin2_pcode,region_name,admin1_pcode
558,San Lazaro Leisure and Business Park,Tourism,Not Yet Operating,"Barangay Lantic, Carmona, Cavite ",Carmona,Carmona,PH042104000,Cavite,PH042100000,Region IV-A,PH040000000
559,Sarangani Agro-Industrial Eco Zone,Agro-Industrial,Not Yet Operating,"Municipality of Alabel, Province of Sarangani",Province of Sarangani,Alabel,PH128001000,Sarangani,PH128000000,Region XII,PH120000000
560,Scrubbed.Net Tech Center,IT Center,Not Yet Operating,"Zone 6, Panipuan, San Fernando City, Pampanga",San Fernando City,San Fernando,PH175913000,Romblon,PH175900000,Region IV-B,PH170000000
561,Sevina Park Commercial,IT Park,Not Yet Operating,"along Barangay Biñan, Biñan City",Biñan City,City of Biñan,PH043403000,Laguna,PH043400000,Region IV-A,PH040000000
562,SGI Technology Center,IT Center,Not Yet Operating,"Nono Limbaga Drive, Tanjay City, Negros Oriental ",Tanjay City,City of Tanjay,PH074621000,Negros Oriental,PH074600000,Region VII,PH070000000
563,Shannalyne Technological and Environmental Park,Manufacturing,Not Yet Operating,"Milagros, Esperanza, Agusan del Sur",Agusan del Sur,Esperanza,PH160303000,Agusan del Sur,PH160300000,Region XIII,PH160000000
564,Silver City 1A,IT Center,Not Yet Operating,"Silver City KPO Campus, Frontera Drive, Frontera Verde, C-5 cor. Ortigas Ave., Brgy. Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
565,Silver City 4,IT Center,Not Yet Operating,"Frontera Verde, C-5 cor. Ortigas Avenue, Barangay Ugong, Pasig City",Pasig City,City of Pasig,PH137403000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
566,SM City Bacolod IT Center  ,IT Center,Not Yet Operating,"Reclamation Area, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
567,SM City Bacoor  ,IT Center,Not Yet Operating,"Gen. Aguinaldo cor. Tirona Hway, Brgy. Habay II, Bacoor City",Bacoor City,Bacoor City,PH042103000,Cavite,PH042100000,Region IV-A,PH040000000
568,SM City Rosario I.T. Center  ,IT Center,Not Yet Operating,"Barangay Tejero, Rosario, Cavite",Rosario,Rosario,PH160307000,Agusan del Sur,PH160300000,Region XIII,PH160000000
569,SM CyberZone 1  ,IT Center,Not Yet Operating,"Block 9, SM Central Business Park, Bay City, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
570,SM iCity  ,IT Park,Not Yet Operating,"SM Central Business Park, Bay City, Pasay City",Pasay City,Pasay City,PH137605000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
571,SM Seaside City Tourism Economic Zone,Tourism,Not Yet Operating,"Cebu South Road Properties Complex, Cebu City ",Cebu City,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
572,SMBL IT Center  ,IT Center,Not Yet Operating,"Doña Remedios, Trinidad Highway, Baliwag, Bulacan",Baliwag,Bula,PH051706000,Camarines Sur,PH051700000,Region V,PH050000000
573,SMCI IT Center,IT Center,Not Yet Operating,"Benigno Aquino Ave., Iloilo City",Iloilo City,Iloilo City,PH063022000,Iloilo,PH063000000,Region VI,PH060000000
574,SMCO IT Center ,IT Center,Not Yet Operating,"Pueblo de Oro, Upper Carmen, Cagayan de Oro City",Upper Carmen,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
575,SMNE IT Center  ,IT Center,Not Yet Operating,"EDSA corner North Avenue, Quezon City ",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
576,SMNV IT Center ,IT Center,Not Yet Operating,"Quirino Highway, Barangay San Bartolome, Quezon City",Barangay San Bartolome,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
577,South Coast Ecozone,Manufacturing,Not Yet Operating,"Papaya, Nasugbu, Batangas",Nasugbu,Nasugbu,PH041019000,Batangas,PH041000000,Region IV-A,PH040000000
578,South Forbes Cyber Park,IT Park,Not Yet Operating,"South Forbes Golf City, Barangay Inhican, Silang, Cavite",Silang,Silang,PH042118000,Cavite,PH042100000,Region IV-A,PH040000000
579,South Tower,IT Center,Not Yet Operating,"Alabang Zapote Road, Barangay Almanza Uno, Las Piñas City",Las Piñas City,City of Las Piñas,PH137601000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
580,Southkey Building ,IT Center,Not Yet Operating,"Indo-China Drive, Filinvest Northgate Business District, Alabang, Muntinlupa City ",Muntinlupa City,City of Muntinlupa,PH137603000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
581,St. Francis IT Centre,IT Center,Not Yet Operating,"Araneta Street, Singcang, Bacolod City",Bacolod City,Bacolod City,PH064501000,Negros Occidental,PH064500000,Region VI,PH060000000
582,Starmall EDSA-Shaw,IT Center,Not Yet Operating,"Shaw Boulevard cor. EDSA, Mandaluyong City",Mandaluyong City,City of Mandaluyong,PH137401000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
583,Subic Hermosa Cyber City,Manufacturing,Not Yet Operating,"Culis and Sumalo, Hermosa, Bataan",Hermosa,Hermosa,PH030805000,Bataan,PH030800000,Region III,PH030000000
584,Taft East Gate,IT Park,Not Yet Operating,"Cardinal Rosales Avenue, Barangay Luz, Cebu City",Barangay Luz,Cebu City,PH072217000,Cebu,PH072200000,Region VII,PH070000000
585,Taft Information Technology Park ,IT Park,Not Yet Operating,"Poblacion and Subangdaku, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
586,Tarlac Provincial IT Park I ,IT Park,Not Yet Operating,"Brgy. Tibag, Tarlac City",Tarlac City,City of Tarlac,PH036916000,Tarlac,PH036900000,Region III,PH030000000
587,Tarlac Provincial IT Park III ,IT Park,Not Yet Operating,"Brgy. San Isidro, Tarlac City",Tarlac City,City of Tarlac,PH036916000,Tarlac,PH036900000,Region III,PH030000000
588,Tarlac Terrapark,Manufacturing,Not Yet Operating,"San Miguel, Tarlac ",Tarlac,San Miguel,PH166816000,Surigao del Sur,PH166800000,Region XIII,PH160000000
589,The Forum at PonteFino Estates,IT Park,Not Yet Operating,"Barangays Pallocon Silangan and Gulod Labac, Batangas City",Batangas City,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
590,The Orchard Tower Manila   ,IT Center,Not Yet Operating,"961 Juan Luna Street, Barangay 7, Tondo, Manila",Manila,Luna,PH148105000,Apayao,PH148100000,Cordillera Administrative Region,PH140000000
591,The Paseo Center IT Building ,IT Center,Not Yet Operating,"8757 Paseo de Roxas corner Sedeño Street, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
592,The Peak Tower ,IT Center,Not Yet Operating,"No. 107 Leviste Street, Salcedo Village, Makati City",Makati City,City of Makati,PH137602000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
593,The Space,IT Center,Not Yet Operating,"A.S. Fortuna corner P. Remedio St., Banilad, Mandaue City",Mandaue City,Mandaue City,PH072230000,Cebu,PH072200000,Region VII,PH070000000
594,Tigerland Agro-Industrial Economic Zone,Agro-Industrial,Not Yet Operating,"Barangay Mabacong, Batangas City ",Batangas City,Batangas City,PH041005000,Batangas,PH041000000,Region IV-A,PH040000000
595,Tubay Agri-Processing Center,Manufacturing,Not Yet Operating,"Doña Rosario, Tubay,  Agusan del Norte",Agusan del Norte,Bay,PH043402000,Laguna,PH043400000,Region IV-A,PH040000000
596,Tupi IT Park,IT Park,Not Yet Operating,"along National Highway, Barangay Poblacion, Tupi, South Cotabato",Tupi,Tupi,PH126317000,South Cotabato,PH126300000,Region XII,PH120000000
597,UP Science And Technology Park (South) ,IT Park,Not Yet Operating,"C.P. Garcia, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
598,UPLB Agro-Industial Park,Agro-Industrial,Not Yet Operating,"University of the Philippines, Los Baños, Laguna",Los Baños,Los Baños,PH043411000,Laguna,PH043400000,Region IV-A,PH040000000
599,UPLB Information Technology Park,IT Park,Not Yet Operating,"University of the Philippines, Los Baños, Laguna",Los Baños,Los Baños,PH043411000,Laguna,PH043400000,Region IV-A,PH040000000
600,Vista Mall Las Piñas IT Hub ,IT Center,Not Yet Operating,"Alabang-Zapote Road corner C.V. Starr Avenue, Philamlife Village, Pamplona 2, Las Piñas City",Las Piñas City,City of Las Piñas,PH137601000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
601,Vista Place Campus Tower 1,IT Center,Not Yet Operating,"C-5 Road and Levi Mariano Avenue, Barangay Ususan, Taguig City ",Taguig City,Taguig City,PH137607000,"NCR, Fourth District",PH137600000,National Capital Region,PH130000000
602,V-tech Tower   ,IT Center,Not Yet Operating,"G. Araneta Avneue cor. Ma. Clara Street, Quezon City",Quezon City,Quezon City,PH137404000,"NCR, Second District",PH137400000,National Capital Region,PH130000000
603,West Aeropark IT Park,IT Park,Not Yet Operating,"Aeropark Office Campus, GGLC, Clark Freeport Zone, Pampanga",Clark Freeport Zone,Mabalacat City,PH035409000,Pampanga,PH035400000,Region III,PH030000000
